"","site_id","CellName","Quadrant","detector_model","detector_type","night","spp","n_calls","legacy_model","site_night"
"41","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYCI",0,"SM2","Castlegar_NE|2025-06-18"
"42","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYEV",0,"SM2","Castlegar_NE|2025-06-18"
"43","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYLU",13,"SM2","Castlegar_NE|2025-06-18"
"44","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYSE",3,"SM2","Castlegar_NE|2025-06-18"
"45","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYTH",0,"SM2","Castlegar_NE|2025-06-18"
"46","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYVO",2,"SM2","Castlegar_NE|2025-06-18"
"47","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"MYYU",1,"SM2","Castlegar_NE|2025-06-18"
"48","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-18,"PAHE",0,"SM2","Castlegar_NE|2025-06-18"
"49","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"ANPA",4,"SM2","Castlegar_NE|2025-06-19"
"50","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"COTO",0,"SM2","Castlegar_NE|2025-06-19"
"51","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"EPFU",4,"SM2","Castlegar_NE|2025-06-19"
"52","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"EUMA",0,"SM2","Castlegar_NE|2025-06-19"
"53","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"LABO",0,"SM2","Castlegar_NE|2025-06-19"
"54","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"LACI",0,"SM2","Castlegar_NE|2025-06-19"
"55","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"LANO",1,"SM2","Castlegar_NE|2025-06-19"
"56","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYCA",0,"SM2","Castlegar_NE|2025-06-19"
