site_id,CellName,Quadrant,detector_model,detector_type,paired_detector,night,sppWA,n_calls,site_night
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-18,MYTH,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-18,MYVO,2,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-18,MYYU,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-18,PAHE,0,Castlegar_NE|2025-06-18
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,ANPA,3,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,COTO,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,EPFU,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,EUMA,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,LABO,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,LACI,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,LANO,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYCA,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYCI,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYEV,3,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYLU,10,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYSE,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYTH,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYVO,1,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,MYYU,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-19,PAHE,0,Castlegar_NE|2025-06-19
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,ANPA,0,Castlegar_NE|2025-06-20
